"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","E00060715","E00060715",332,332,0
"2021","E00060716","E00060716",268,268,0
"2021","E00060720","E00060720",269,269,0
"2021","E00060707","E00060707",319,319,0
"2021","E00060712","E00060712",486,470,16
"2021","E00060727","E00060727",357,357,0
"2021","E00060728","E00060728",332,332,0
"2021","E00060713","E00060713",241,241,0
"2021","E00060714","E00060714",255,255,0
"2021","E00060718","E00060718",254,254,0
"2021","E00060719","E00060719",289,289,0
"2021","E00060721","E00060721",357,357,0
"2021","E00060703","E00060703",239,239,0
"2021","E00060722","E00060722",208,208,0
"2021","E00060723","E00060723",201,201,0
"2021","E00060725","E00060725",272,272,0
"2021","E00174116","E00174116",185,135,50
"2021","E00060896","E00060896",268,268,0
"2021","E00060900","E00060900",327,327,0
"2021","E00060901","E00060901",272,272,0
"2021","E00060903","E00060903",317,317,0
"2021","E00060914","E00060914",336,336,0
"2021","E00060897","E00060897",298,298,0
"2021","E00060899","E00060899",319,279,40
"2021","E00060902","E00060902",357,357,0
"2021","E00060904","E00060904",314,314,0
"2021","E00060913","E00060913",281,281,0
"2021","E00060905","E00060905",293,293,0
"2021","E00060906","E00060906",155,155,0
"2021","E00060909","E00060909",302,300,2
"2021","E00060910","E00060910",325,325,0
"2021","E00060911","E00060911",308,308,0
"2021","E00060898","E00060898",239,239,0
"2021","E00060907","E00060907",292,292,0
"2021","E00060908","E00060908",309,309,0
"2021","E00060912","E00060912",322,322,0
"2021","E00060915","E00060915",312,312,0
"2021","E00060976","E00060976",375,375,0
"2021","E00060981","E00060981",334,334,0
"2021","E00060982","E00060982",326,275,51
"2021","E00188218","E00188218",351,351,0
"2021","E00188221","E00188221",347,347,0
"2021","E00060916","E00060916",432,432,0
"2021","E00060925","E00060925",289,289,0
"2021","E00060926","E00060926",269,269,0
"2021","E00060927","E00060927",252,252,0
"2021","E00060930","E00060930",262,262,0
"2021","E00060917","E00060917",313,312,1
"2021","E00060921","E00060921",312,312,0
"2021","E00060922","E00060922",307,307,0
"2021","E00060923","E00060923",509,494,15
"2021","E00060929","E00060929",344,344,0
"2021","E00060931","E00060931",242,242,0
"2021","E00060932","E00060932",311,311,0
"2021","E00060933","E00060933",309,309,0
"2021","E00060918","E00060918",317,317,0
"2021","E00060919","E00060919",385,385,0
"2021","E00060920","E00060920",245,215,30
"2021","E00060924","E00060924",513,452,61
"2021","E00060928","E00060928",295,295,0
"2021","E00060659","E00060659",351,331,20
"2021","E00060660","E00060660",300,300,0
"2021","E00060661","E00060661",347,344,3
"2021","E00060663","E00060663",313,313,0
"2021","E00188237","E00188237",405,405,0
"2021","E00188241","E00188241",376,376,0
"2021","E00060664","E00060664",375,375,0
"2021","E00060665","E00060665",602,575,27
"2021","E00060666","E00060666",337,337,0
"2021","E00060668","E00060668",298,298,0
"2021","E00060669","E00060669",342,293,49
"2021","E00060651","E00060651",464,464,0
"2021","E00060652","E00060652",342,342,0
"2021","E00060656","E00060656",333,333,0
"2021","E00060667","E00060667",327,327,0
"2021","E00174108","E00174108",460,460,0
"2021","E00174109","E00174109",293,293,0
"2021","E00060598","E00060598",263,263,0
"2021","E00060600","E00060600",257,257,0
"2021","E00060602","E00060602",158,158,0
"2021","E00060610","E00060610",251,251,0
"2021","E00060611","E00060611",235,235,0
"2021","E00060612","E00060612",274,274,0
"2021","E00060596","E00060596",286,286,0
"2021","E00060601","E00060601",248,248,0
"2021","E00060606","E00060606",159,159,0
"2021","E00060607","E00060607",209,209,0
"2021","E00060608","E00060608",251,251,0
"2021","E00060609","E00060609",325,325,0
"2021","E00060613","E00060613",305,275,30
"2021","E00060595","E00060595",263,263,0
"2021","E00060597","E00060597",218,218,0
"2021","E00060599","E00060599",262,262,0
